Date,Actual_Close,Target,Open,High,Low,Close,Volume
2017-01-04,21.370001,1.0,21.139999,21.280001,21.110001,21.280001,2009000.0
2017-01-05,21.559999,1.0,21.15,21.379999,21.139999,21.370001,2333100.0
2017-01-06,21.6,1.0,21.35,21.58,21.35,21.559999,1515100.0
2017-01-09,21.5,0.0,21.620001,21.68,21.559999,21.6,1118300.0
2017-01-10,22.1,1.0,21.41,21.549999,21.379999,21.5,1359100.0
2017-01-11,22.280001,1.0,21.68,22.129999,21.68,22.1,3257100.0
2017-01-12,22.26,0.0,22.1,22.32,22.08,22.280001,3642100.0
2017-01-13,22.48,1.0,22.290001,22.33,22.15,22.26,3055100.0
2017-01-17,22.33,0.0,22.459999,22.51,22.370001,22.48,2241900.0
2017-01-18,22.41,1.0,22.389999,22.49,22.309999,22.33,7203800.0
2017-01-19,22.559999,1.0,22.34,22.469999,22.33,22.41,2777000.0
2017-01-20,22.780001,1.0,22.48,22.58,22.389999,22.559999,1619800.0
2017-01-23,22.780001,0.0,22.73,22.799999,22.690001,22.780001,1370400.0
2017-01-24,22.950001,1.0,22.74,22.809999,22.629999,22.780001,1621900.0
2017-01-25,23.5,1.0,22.870001,23.01,22.860001,22.950001,1745200.0
2017-01-26,23.799999,1.0,23.41,23.58,23.389999,23.5,2216200.0
2017-01-27,23.83,1.0,23.85,23.9,23.68,23.799999,5785500.0
2017-01-30,23.799999,0.0,23.82,23.860001,23.74,23.83,4281100.0
2017-01-31,23.82,1.0,23.629999,23.809999,23.58,23.799999,2626100.0
2017-02-01,23.75,0.0,23.799999,23.85,23.65,23.82,3627800.0
2017-02-02,23.67,0.0,23.82,23.879999,23.620001,23.75,1645800.0
2017-02-03,23.629999,0.0,23.690001,23.73,23.629999,23.67,1530100.0
2017-02-06,23.370001,0.0,23.58,23.700001,23.559999,23.629999,3017100.0
2017-02-07,23.450001,1.0,23.33,23.4,23.27,23.370001,1819900.0
2017-02-08,22.610001,0.0,23.43,23.52,23.389999,23.450001,1698000.0
2017-02-09,22.77,1.0,22.709999,22.719999,22.57,22.610001,3670200.0
2017-02-10,22.879999,1.0,22.610001,22.879999,22.610001,22.77,2049300.0
2017-02-13,22.940001,1.0,22.889999,22.959999,22.559999,22.879999,4664100.0
2017-02-14,22.82,0.0,22.940001,22.99,22.860001,22.940001,2427700.0
2017-02-15,22.93,1.0,22.92,22.92,22.709999,22.82,1233000.0
2017-02-16,23.01,1.0,22.68,22.940001,22.68,22.93,1987500.0
2017-02-17,22.82,0.0,22.959999,23.030001,22.940001,23.01,1159500.0
2017-02-21,22.969999,1.0,22.74,22.83,22.690001,22.82,1859700.0
2017-02-22,22.82,0.0,22.799999,23.01,22.790001,22.969999,1849100.0
2017-02-23,22.780001,0.0,22.83,22.91,22.73,22.82,2328100.0
2017-02-24,22.549999,0.0,22.889999,22.92,22.75,22.780001,2559600.0
2017-02-27,22.5,0.0,22.389999,22.57,22.370001,22.549999,1413200.0
2017-02-28,22.549999,1.0,22.440001,22.559999,22.4,22.5,1951600.0
2017-03-01,22.98,1.0,22.58,22.690001,22.530001,22.549999,2198100.0
2017-03-02,22.68,0.0,22.77,23.02,22.77,22.98,1584500.0
2017-03-03,22.780001,1.0,22.780001,22.82,22.67,22.68,1127900.0
2017-03-06,22.57,0.0,22.73,22.799999,22.6,22.780001,906000.0
2017-03-07,22.610001,1.0,22.58,22.59,22.49,22.57,1781900.0
2017-03-08,22.540001,0.0,22.549999,22.639999,22.49,22.610001,1381200.0
2017-03-09,22.360001,0.0,22.57,22.68,22.52,22.540001,1581400.0
2017-03-10,22.639999,1.0,22.309999,22.389999,22.24,22.360001,1684000.0
2017-03-13,22.639999,0.0,22.51,22.66,22.469999,22.639999,2832500.0
